2411 MHz, 3003 MHz, 61, 13.64 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.44 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.34 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.31 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.24 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.22 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.17 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.06 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.04 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.99 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.94 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.86 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.85 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.83 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.75 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.71 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.51 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.50 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 12.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
