model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d16384 (c1),1363.1165481285939,1.8504026359019834,1363.1165481285939,1.8504026359019834,,,,,12073.54689175263,16.26258251033547,12059.005600431314,16.26258251033547,12073.54689175263,16.26258251033547
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d16384 (c1),17.23769595847012,1.1397484618830775,17.23769595847012,1.1397484618830775,25.4,1.7435595774162693,25.4,1.7435595774162693,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d16384 (c1),151.57380834399015,0.315653419574994,151.57380834399015,0.315653419574994,,,,,13526.169100031257,28.144467084783386,13511.62780870994,28.144467084783386,13526.169100031257,28.144467084783386
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d16384 (c1),18.359991902349673,1.1674430218868017,18.359991902349673,1.1674430218868017,25.2,1.1661903789690602,25.2,1.1661903789690602,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d16384 (c10),1157.757593048078,27.00222352925258,122.83841772437142,14.045623000033222,,,,,135264.29209586233,12352.501529328296,135217.43185980868,12352.50152932829,135264.29209586233,12352.501529328296
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d16384 (c10),26.018853610548426,6.310389087689686,8.307000190667457,2.7005459389209756,132.4,8.593020423576334,17.98,1.7831432920547916,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d16384 (c10),129.47883790317292,0.05278575337122565,13.373238719658382,0.5931242002463486,,,,,153465.5014993064,6251.099366985375,153418.64126325274,6251.099366985375,153465.5014993064,6251.099366985375
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d16384 (c10),36.97319022497817,0.35391720200779747,8.787827404249317,2.2470015261166707,135.4,7.391887445030532,17.8,1.6370705543744901,,,,,,
