2385 MHz, 3003 MHz, 63, 95.11 W, P0, [N/A]
2366 MHz, 3003 MHz, 63, 80.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 26.92 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 29.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 13.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 34.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 27.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 23.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 47.93 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 56.67 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 48.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 25.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 54.81 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 57.32 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 56.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 26.40 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 49.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 57.68 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 49.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 26.09 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 55.97 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 58.17 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 55.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 27.40 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 54.63 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 58.37 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 45.65 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 33.26 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.48 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 58.23 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 50.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 30.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.43 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 59.01 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 40.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 40.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 57.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 58.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 41.98 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 38.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 57.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 59.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 30.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 46.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 58.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.49 W, P0, [N/A]
