2372 MHz, 3003 MHz, 67, 98.21 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 92.35 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 90.32 W, P0, [N/A]
2372 MHz, 3003 MHz, 61, 92.06 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 97.93 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 95.90 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.35 W, P0, [N/A]
2372 MHz, 3003 MHz, 62, 92.16 W, P0, [N/A]
2320 MHz, 3003 MHz, 69, 90.77 W, P0, [N/A]
2346 MHz, 3003 MHz, 69, 99.67 W, P0, [N/A]
2385 MHz, 3003 MHz, 70, 93.04 W, P0, [N/A]
2333 MHz, 3003 MHz, 63, 92.88 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 92.51 W, P0, [N/A]
2327 MHz, 3003 MHz, 69, 94.49 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 97.68 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 93.56 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 93.36 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 92.85 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 99.44 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 90.53 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 93.57 W, P0, [N/A]
2320 MHz, 3003 MHz, 72, 92.76 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 94.31 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 97.36 W, P0, [N/A]
2372 MHz, 3003 MHz, 63, 41.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 30.32 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 37.08 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 41.50 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 40.73 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 41.17 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 42.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 64, 40.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 40.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 36.64 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 22.17 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 13.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.15 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 13.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.46 W, P0, [N/A]
