model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
LiquidAI/LFM2.5-350M,pp2048 (c10),89812.85576162349,1768.4771396851604,18252.2841239234,12826.317368886212,,,,,167.55172908306122,59.62445214057737,150.34459006662172,59.62445214057737,167.55172908306122,59.62445214057737
LiquidAI/LFM2.5-350M,tg128 (c10),2096.188204831346,85.04456541307547,275.99971313229236,44.84418547550488,2125.766440247313,83.36156054551404,280.2603468723455,46.05017472162257,,,,,,
LiquidAI/LFM2.5-350M,ctx_pp @ d4096 (c10),92228.98304272234,3241.545156470245,13493.26426350295,6168.911248716138,,,,,357.12707360895973,96.20490810850221,344.77389316695434,96.20490810850221,357.12707360895973,96.20490810850221
LiquidAI/LFM2.5-350M,ctx_tg @ d4096 (c10),1565.7184268210524,35.232236514309136,232.1147098695522,54.54069180108118,1589.8381699003887,34.63071329145863,244.21353754967694,63.821724358194906,,,,,,
LiquidAI/LFM2.5-350M,pp2048 @ d4096 (c10),31448.392584250993,1141.335361628769,5968.3891863617855,3605.232593591813,,,,,449.05561249082285,170.98949861695692,436.70243204881746,170.98949861695692,449.05561249082285,170.98949861695692
LiquidAI/LFM2.5-350M,tg128 @ d4096 (c10),1168.5038508185296,35.23162575861851,180.8883170872345,49.884300818877726,1207.7865201556826,50.66251198743681,185.59048245057093,53.005671586826885,,,,,,
LiquidAI/LFM2.5-350M,ctx_pp @ d8192 (c10),88808.95356522124,455.12532991945034,15676.173088374726,9638.404289606364,,,,,662.645940327396,233.17740882595044,648.7239128599563,233.17740882595047,662.645940327396,233.17740882595044
LiquidAI/LFM2.5-350M,ctx_tg @ d8192 (c10),949.0782882348677,25.208947561637373,160.35734924461835,38.51999788133736,1239.0,37.094473981982816,167.62252161227244,37.956287006241354,,,,,,
LiquidAI/LFM2.5-350M,pp2048 @ d8192 (c10),17318.44685558889,119.92350012684432,3706.8365729290545,2744.5371861456447,,,,,763.9691792428493,315.41646080152054,750.0471517754096,315.4164608015205,763.9691792428493,315.41646080152054
LiquidAI/LFM2.5-350M,tg128 @ d8192 (c10),698.4492778349214,65.62008797092912,126.80780573544213,53.22859539400469,1103.0,109.62055768270231,138.2279800507207,51.9115908362705,,,,,,
LiquidAI/LFM2.5-350M,ctx_pp @ d16384 (c10),79288.35984657618,778.433459952128,16515.960538269006,11303.176250063374,,,,,1329.9412263867755,555.4158554427075,1318.8882953487334,555.4158554427074,1330.106420814991,555.6241528401365
LiquidAI/LFM2.5-350M,ctx_tg @ d16384 (c10),460.05368886461605,19.683545655732644,92.58457287885832,33.35580727385273,1104.6666666666667,76.6391254879357,117.78803662996027,34.61846096289583,,,,,,
LiquidAI/LFM2.5-350M,pp2048 @ d16384 (c10),8594.361510749246,36.3458766315201,1941.8523050839258,1358.497509021689,,,,,1457.9224235222985,649.1696355748082,1446.8694924842562,649.1696355748081,1457.9224235222985,649.1696355748082
LiquidAI/LFM2.5-350M,tg128 @ d16384 (c10),404.78844606509506,21.210463615928873,79.04085578536764,36.852059684608605,1082.6666666666667,75.58806490151441,114.44469444738469,30.160270255682743,,,,,,
