2398 MHz, 3003 MHz, 48, 12.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 18.10 W, P0, [N/A]
2385 MHz, 3003 MHz, 57, 48.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 35.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 36.56 W, P0, [N/A]
2379 MHz, 3003 MHz, 58, 65.80 W, P0, [N/A]
2405 MHz, 3003 MHz, 50, 32.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 13.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 21.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 53.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 57.09 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 59.77 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 61.08 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 63.18 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 62.85 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 63.74 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 65.26 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 66.15 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 66.51 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 67.28 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 67.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 67.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 68.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 69.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 68.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 70.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 68.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 71.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 70.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 71.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 70.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 71.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 71.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 72.99 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 71.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 71.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 73.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 71.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 73.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 73.75 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 72.00 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 74.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 74.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 73.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 74.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 75.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 74.20 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 74.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 74.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 75.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 74.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 77.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 71.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 48.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 28.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.10 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 51.77 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 60.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 62.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 64.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 66.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 65.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 67.05 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 68.39 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 68.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 70.82 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 70.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 70.34 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 70.66 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 71.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 73.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 71.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 71.63 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 73.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 74.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 74.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 74.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 74.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 74.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 74.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 76.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 75.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 75.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 76.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 75.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 75.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 76.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 77.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 75.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 77.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 77.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 77.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 78.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 77.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 75.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 79.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 77.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 77.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 79.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 75.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 73.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 67.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 31.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 32.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 63.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 64.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 66.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 68.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 68.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 70.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 70.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 70.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 71.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 72.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 73.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 72.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 72.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 74.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 73.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 74.73 W, P0, [N/A]
