model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c5),5366.632316478369,2.2126448333554447,1135.7044247868005,99.42149515866751,,,,,29067.597513832152,2257.9214424519623,29051.997569203377,2257.9214424519623,29067.597513832152,2257.9214424519623
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c5),73.2384129689895,0.5183328455061144,38.92507244301081,12.771963570031561,281.6666666666667,6.018490028422596,57.4,4.923413450036469,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c5),312.8779549891928,0.1340555339093375,64.1480775817246,1.857046550482626,,,,,31967.6630419679,895.9167087221881,31952.063097339123,895.9167087221881,31967.6630419679,895.9167087221881
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c5),125.61729487614873,3.242590389710888,41.76862607882505,8.626407657571935,294.3333333333333,16.779617264870957,60.06666666666667,5.9382002511048935,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c10),5325.949792241488,8.28304715673208,719.0720052390328,246.11089785982912,,,,,49746.476841624826,12614.315124940662,49734.368744151034,12614.315124940666,49746.476841624826,12614.315124940662
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c10),31.09093208089534,0.20539289592179985,18.090202657478752,13.591481025019968,394.0,22.464787260658994,41.333333333333336,3.599382663118157,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c10),309.10310442548945,0.15790591489451633,36.60041145232164,7.605757653759998,,,,,57914.592930550374,9516.240479701512,57902.484833076574,9516.24047970151,57914.592930550374,9516.240479701512
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c10),37.818093259455374,0.14384329950986377,19.417336172118578,12.107275124750826,422.0,34.068558329736625,44.2,3.3901819026909656,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d65535 (c5),4162.887165418994,2.206369368335886,1053.9439186590926,329.366127044965,,,,,66759.32981374985,14727.239297577844,66746.3334943789,14727.23929757784,66759.32981374985,14727.239297577844
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d65535 (c5),14.178058136287936,0.48647921167762254,21.34047609391242,16.884841737568177,236.66666666666666,8.498365855987974,50.46666666666667,5.667058809960909,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d65535 (c5),125.00774419025049,0.032355842467060796,28.579345467384265,4.812157390243573,,,,,73428.95301394165,10476.617221620081,73415.95669457069,10476.61722162008,73428.95301394165,10476.617221620081
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d65535 (c5),20.722132033469347,0.005021415089630666,24.68603471245524,16.22640208734675,250.33333333333334,5.792715732327588,51.733333333333334,4.186751591495356,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d65535 (c10),4146.495741005688,1.1217293061243794,703.3287168905283,385.166413698932,,,,,113653.53072485887,40671.42086359101,113639.63991920464,40671.42086359101,113653.53072485887,40671.42086359101
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d65535 (c10),10.219464693835596,0.0224742644843715,9.266562111550245,10.441952980839652,311.3333333333333,11.55662388223981,36.766666666666666,3.657716348883397,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d65535 (c10),124.20061938888226,0.024605085629787755,18.413043188059216,8.122921417716604,,,,,127579.95577224842,38608.67872414509,127566.06496659419,38608.67872414509,127579.95577224842,38608.67872414509
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d65535 (c10),11.063956242089434,0.017793763588677153,10.857420249931709,10.970403175345275,317.6666666666667,9.104333522498441,34.833333333333336,2.464187943770163,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d100000 (c5),3383.5490827142853,0.7921073376769596,942.4744720349897,323.4607969603553,,,,,116480.6959638993,31031.758090287833,116464.97771382953,31031.758090287833,116480.6959638993,31031.758090287833
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d100000 (c5),7.294613575197521,0.012362615058508516,16.535131670820313,17.007510330191298,211.66666666666666,17.745108872274887,46.666666666666664,4.5995168828427575,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d100000 (c5),67.26461672669491,0.014162299291881895,16.69194489668611,4.272842844408595,,,,,129290.91396123792,26007.946421232235,129275.19571116815,26007.946421232235,129290.91396123792,26007.946421232235
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d100000 (c5),8.566777463659625,0.026722331560045477,16.878456454465923,15.405821992559572,214.66666666666666,2.6246692913372702,46.2,4.791659420284376,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d100000 (c10),3370.442713274367,0.5027574315028245,647.6560077594703,362.9387584721851,,,,,194080.763133429,78311.41174662998,194069.55589729664,78311.41174662998,194080.763133429,78311.41174662998
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d100000 (c10),5.347364226511949,0.008305212024324785,6.299258019261742,9.75403704139453,274.0,7.788880963698615,34.266666666666666,4.932432350158377,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d100000 (c10),66.94928506496285,0.07967969561958482,11.456643873428,5.542096048949075,,,,,213609.3757486747,77345.2779629884,213598.16851254238,77345.2779629884,213609.3757486747,77345.2779629884
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d100000 (c10),5.552607887762851,0.00023426024195164613,6.520915106888958,9.130962058640634,258.0,10.614455552060438,29.266666666666666,3.20347034046239,,,,,,
