2385 MHz, 3003 MHz, 60, 95.04 W, P0, [N/A]
2385 MHz, 3003 MHz, 58, 94.48 W, P0, [N/A]
2385 MHz, 3003 MHz, 61, 94.19 W, P0, [N/A]
2385 MHz, 3003 MHz, 52, 74.86 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 26.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 50, 29.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 13.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 13.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 41.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 20.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 24.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 22.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 50, 47.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 56.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 53.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 44.99 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 55.22 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 39.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 27.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.22 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 42.01 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 57.24 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 56.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 57.66 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 57.01 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 56.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 37.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 29.33 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 55.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 58.21 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 57.52 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.23 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 57.01 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 29.15 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 40.49 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 57.51 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 58.03 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 58.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 59.04 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 54.92 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 44.18 W, P0, [N/A]
