2392 MHz, 3003 MHz, 62, 92.39 W, P0, [N/A]
2372 MHz, 3003 MHz, 57, 92.37 W, P0, [N/A]
2372 MHz, 3003 MHz, 63, 92.25 W, P0, [N/A]
2353 MHz, 3003 MHz, 63, 96.06 W, P0, [N/A]
2366 MHz, 3003 MHz, 64, 95.16 W, P0, [N/A]
2366 MHz, 3003 MHz, 65, 92.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 92.85 W, P0, [N/A]
2359 MHz, 3003 MHz, 64, 92.44 W, P0, [N/A]
2353 MHz, 3003 MHz, 66, 99.13 W, P0, [N/A]
2346 MHz, 3003 MHz, 66, 93.86 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 92.36 W, P0, [N/A]
2346 MHz, 3003 MHz, 61, 93.26 W, P0, [N/A]
2340 MHz, 3003 MHz, 67, 91.83 W, P0, [N/A]
2340 MHz, 3003 MHz, 68, 99.83 W, P0, [N/A]
2379 MHz, 3003 MHz, 68, 91.80 W, P0, [N/A]
2353 MHz, 3003 MHz, 63, 92.67 W, P0, [N/A]
2346 MHz, 3003 MHz, 68, 92.75 W, P0, [N/A]
2340 MHz, 3003 MHz, 67, 92.22 W, P0, [N/A]
2346 MHz, 3003 MHz, 69, 100.47 W, P0, [N/A]
2340 MHz, 3003 MHz, 69, 92.54 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.20 W, P0, [N/A]
2340 MHz, 3003 MHz, 65, 92.09 W, P0, [N/A]
2333 MHz, 3003 MHz, 71, 94.59 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 97.64 W, P0, [N/A]
2372 MHz, 3003 MHz, 71, 92.56 W, P0, [N/A]
2340 MHz, 3003 MHz, 70, 93.18 W, P0, [N/A]
2294 MHz, 3003 MHz, 71, 78.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 21.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 37.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 42.10 W, P0, [N/A]
2411 MHz, 3003 MHz, 63, 41.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 40.55 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 41.19 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 41.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 40.55 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 35.63 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 25.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.31 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.89 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 13.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.28 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.41 W, P0, [N/A]
