2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.79 W, P0, [N/A]
2379 MHz, 3003 MHz, 59, 53.60 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 59.07 W, P0, [N/A]
2385 MHz, 3003 MHz, 61, 72.11 W, P0, [N/A]
2385 MHz, 3003 MHz, 53, 30.64 W, P0, [N/A]
2366 MHz, 3003 MHz, 57, 60.49 W, P0, [N/A]
2385 MHz, 3003 MHz, 56, 47.72 W, P0, [N/A]
2372 MHz, 3003 MHz, 60, 82.22 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 65.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 63.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 40.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 16.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 17.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 16.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.00 W, P0, [N/A]
