2353 MHz, 3003 MHz, 67, 92.65 W, P0, [N/A]
2385 MHz, 3003 MHz, 68, 96.53 W, P0, [N/A]
2340 MHz, 3003 MHz, 68, 93.09 W, P0, [N/A]
2379 MHz, 3003 MHz, 69, 96.10 W, P0, [N/A]
2320 MHz, 3003 MHz, 69, 91.69 W, P0, [N/A]
2379 MHz, 3003 MHz, 69, 96.33 W, P0, [N/A]
2340 MHz, 3003 MHz, 70, 92.65 W, P0, [N/A]
2379 MHz, 3003 MHz, 69, 93.27 W, P0, [N/A]
2327 MHz, 3003 MHz, 70, 95.91 W, P0, [N/A]
2353 MHz, 3003 MHz, 69, 92.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 62.22 W, P0, [N/A]
2411 MHz, 3003 MHz, 64, 27.72 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 39.11 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 40.16 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 40.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 36.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.30 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.14 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.63 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 13.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 14.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 13.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 13.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 63.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 65.28 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 51.76 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 14.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 23.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 41.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 52.09 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 47.74 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.00 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 54.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 54.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 54.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 53.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.12 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.98 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 30.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 29.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 56.78 W, P0, [N/A]
2405 MHz, 3003 MHz, 65, 57.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 55.34 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 54.77 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 54.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 54.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 59.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 56.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 55.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 53.08 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 31.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 39.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 58.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 58.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 54.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 55.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 55.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 55.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 55.42 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 60.63 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 56.38 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 55.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 34.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.79 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 55.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 55.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 55.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 55.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 47.36 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 31.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 45.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 56.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 56.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 56.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.73 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 50.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 31.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 40.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 60.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.67 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.88 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.02 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 56.79 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 42.51 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 32.03 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 47.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.84 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.03 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 57.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 46.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 32.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 40.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.95 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.84 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.45 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.39 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 57.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 56.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 61.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 59.61 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 44.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 32.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 48.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.42 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 61.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 46.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 46.93 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.66 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.86 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.73 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 62.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 59.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 38.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 55.99 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.20 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 56.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 56.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 61.39 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.87 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.34 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 43.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 50.82 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 62.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 56.45 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.22 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 57.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 57.85 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 63.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.85 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 33.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 34.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 57.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.61 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 62.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 59.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 33.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 62.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.22 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.93 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 57.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 57.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 62.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.58 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 50.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 46.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 61.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 60.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 51.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 40.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 61.93 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.22 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 59.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 60.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 46.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 18.22 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 14.65 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.35 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.26 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.17 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.11 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.05 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 13.02 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.87 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.81 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.71 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.68 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.60 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.44 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.40 W, P0, [N/A]
