2353 MHz, 3003 MHz, 61, 92.76 W, P0, [N/A]
2340 MHz, 3003 MHz, 68, 98.86 W, P0, [N/A]
2346 MHz, 3003 MHz, 68, 94.68 W, P0, [N/A]
2359 MHz, 3003 MHz, 69, 92.24 W, P0, [N/A]
2353 MHz, 3003 MHz, 61, 91.49 W, P0, [N/A]
2340 MHz, 3003 MHz, 69, 92.33 W, P0, [N/A]
2346 MHz, 3003 MHz, 69, 100.45 W, P0, [N/A]
2359 MHz, 3003 MHz, 69, 92.96 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 93.17 W, P0, [N/A]
2327 MHz, 3003 MHz, 70, 91.96 W, P0, [N/A]
2340 MHz, 3003 MHz, 65, 92.77 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 97.77 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 93.31 W, P0, [N/A]
2372 MHz, 3003 MHz, 71, 92.79 W, P0, [N/A]
2340 MHz, 3003 MHz, 69, 83.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 21.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 23.16 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 18.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 22.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 25.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 26.10 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 21.36 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 25.14 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 23.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.68 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 20.19 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 36.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 39.89 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 40.71 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 39.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 41.71 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 40.67 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 39.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 28.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 17.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 25.89 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 25.05 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 23.16 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 24.18 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 34.02 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 15.33 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.94 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.52 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.32 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 13.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.72 W, P0, [N/A]
2379 MHz, 3003 MHz, 61, 56.67 W, P0, [N/A]
2372 MHz, 3003 MHz, 54, 54.40 W, P0, [N/A]
2359 MHz, 3003 MHz, 65, 69.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 55.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 87.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 57, 34.14 W, P0, [N/A]
