2398 MHz, 3003 MHz, 63, 41.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 43.65 W, P0, [N/A]
2405 MHz, 3003 MHz, 64, 41.12 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 35.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 26.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 13.52 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 13.05 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.79 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.32 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.39 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.75 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 14.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 13.46 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 32.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 62.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 64.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 63.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 62.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 64.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 65.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 63.78 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 45.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 14.96 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.58 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 30.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 55.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 16.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 16.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 25.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 33.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 18.72 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 43.88 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 50.74 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 38.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 22.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 25.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 50.37 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 50.38 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 50.68 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.63 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 33.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 16.96 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 58.27 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 58.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 36.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 31.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 29.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 19.55 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 56.76 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 54.37 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 52.63 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 52.98 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 56.17 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 52.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 53.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 52.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 59.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 60.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 60.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 59.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 60.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 50.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 31.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 31.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 47.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 55.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 54.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 53.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 53.26 W, P0, [N/A]
2405 MHz, 3003 MHz, 64, 57.58 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 51.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 52.21 W, P0, [N/A]
2405 MHz, 3003 MHz, 65, 52.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 65.05 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 35.44 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 32.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 54.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 53.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 58.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 53.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 53.73 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 53.39 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 57.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 52.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.95 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 61.78 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 46.52 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 32.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 32.67 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 56.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 53.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 38.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 42.16 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 20.34 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 21.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 53.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.02 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 56.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 54.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 54.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 64.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.45 W, P0, [N/A]
