model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d16384 (c1),1339.5288837160167,0.8104802879202109,1339.5288837160167,0.8104802879202109,,,,,12287.817805850258,7.425696281704142,12271.483070061853,7.425696281704142,12287.817805850258,7.425696281704142
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d16384 (c1),17.74493823763357,1.5969337113974018,17.74493823763357,1.5969337113974018,27.0,4.08248290463863,27.0,4.08248290463863,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d16384 (c1),153.41529802631837,0.34795033526680397,153.41529802631837,0.34795033526680397,,,,,13365.789180776725,30.269204458543282,13349.45444498832,30.269204458543282,13365.789180776725,30.269204458543282
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d16384 (c1),16.630650545514396,1.2555967939851844,16.630650545514396,1.2555967939851844,23.333333333333332,2.3570226039551585,23.333333333333332,2.3570226039551585,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d16384 (c10),1131.338380053554,8.567214921243275,119.03002832783089,11.560984779149344,,,,,139150.55640707724,10688.126489483624,139133.45606002642,10688.126489483622,139150.55640707724,10688.126489483624
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d16384 (c10),28.300938235922377,7.976123702127294,8.608056915367895,2.92255976825388,128.33333333333334,11.953614051360738,17.333333333333332,2.342837785440744,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d16384 (c10),126.92186533011858,0.853312904484102,13.104856774744196,0.5428846493068272,,,,,156546.10516102985,6066.781877238381,156529.0048139791,6066.781877238381,156546.10516102985,6066.781877238381
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d16384 (c10),40.193071441589865,5.499710051393226,8.617025851194406,2.4607166136507646,132.0,0.816496580927726,17.433333333333334,1.8015425489162211,,,,,,
