model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c5),5349.268938348933,13.031084430220734,1134.7379151225336,101.03999149496626,,,,,29097.99442505464,2297.828850060294,29083.43496657908,2297.828850060294,29097.99442505464,2297.828850060294
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c5),71.46717351527944,1.378306741580003,39.0866449592336,12.638478825295941,288.3333333333333,13.816254517375137,60.46666666666667,5.690537955432879,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c5),313.1347081016108,0.023956437270351315,64.18522233924497,1.8404732822366163,,,,,31947.644766730566,887.0030785024819,31933.085308255006,887.0030785024819,31947.644766730566,887.0030785024819
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c5),125.27062769140794,2.1539192740483313,41.51195238344574,8.460146833043712,288.3333333333333,10.656244908763853,58.8,3.5251477510406093,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c10),5322.135907113349,0.5998169100753247,718.2166311505839,245.5312950537446,,,,,49796.95983744848,12615.974265369066,49784.016837536685,12615.974265369066,49796.95983744848,12615.974265369066
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c10),31.050803370019977,0.346128928377287,18.079774682286445,13.566490562054396,403.6666666666667,23.299976156401726,42.1,3.8587562763149474,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c10),308.84287223422575,0.13834514156475675,36.51096187540362,7.5416634229147315,,,,,58033.80935695022,9479.983714430527,58020.86635703844,9479.98371443053,58033.80935695022,9479.983714430527
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c10),38.22553177417788,0.1802366144960821,20.14658845749192,12.94706706059412,408.3333333333333,10.624918300339484,43.96666666666667,3.5164691887681254,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d65535 (c5),4157.477587726272,2.5717606250821254,1074.5383294746691,328.8098525121517,,,,,65687.69703057283,15502.079314033239,65675.53964145483,15502.079314033235,65687.69703057283,15502.079314033239
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d65535 (c5),14.692615522134913,0.1572448846897315,21.240313304808762,15.771032606467,243.33333333333334,8.219218670625303,51.46666666666667,4.544104850120526,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d65535 (c5),124.90188065445165,0.04820547764512742,28.55214944199007,4.79922998160794,,,,,73491.82897492622,10467.417501299908,73479.67158580822,10467.417501299904,73491.82897492622,10467.417501299908
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d65535 (c5),20.878313194639762,0.03399207607919371,24.982593363932157,16.44298372280163,242.0,6.683312551921141,50.93333333333333,2.0805982045769644,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d65535 (c10),4143.590871880169,1.581080351713512,702.6869221958215,384.7234349153737,,,,,113759.14022363722,40708.0451776861,113741.91165442266,40708.045177686094,113759.14022363722,40708.0451776861
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d65535 (c10),10.243425734305069,0.025976338880398738,9.262997184268626,10.448607293686798,314.3333333333333,16.659998666133067,37.1,3.9610604640676716,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d65535 (c10),124.12260718580329,0.031605616548232913,18.395405724052075,8.1096663756105,,,,,127681.91355547558,38615.81625792777,127664.684986261,38615.81625792776,127681.91355547558,38615.81625792777
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d65535 (c10),11.07084172499367,0.0126255220459839,10.915732766160625,10.96731257084995,319.3333333333333,5.734883511361751,35.86666666666667,2.2171052197754517,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d100000 (c5),3379.300700686514,1.2277929563027041,941.0587374665128,322.49402677329164,,,,,116627.06706114113,31049.16581062224,116615.05400575697,31049.16581062224,116627.06706114113,31049.16581062224
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d100000 (c5),7.055409045155035,0.33041682728771027,16.60122566259474,17.289924358847482,218.0,7.0710678118654755,48.6,4.439219150556398,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d100000 (c5),67.23135342655489,0.024201491756644426,16.678062330942954,4.266377809330264,,,,,129385.12996382391,26007.605515956046,129373.11690843976,26007.605515956046,129385.12996382391,26007.605515956046
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d100000 (c5),8.62843471382237,0.03514437784794707,16.91681151125577,15.462242849106245,219.66666666666666,12.762793146051099,46.53333333333333,2.8720878971384023,,,,,,
