2405 MHz, 3003 MHz, 59, 54.78 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 51.50 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 55.73 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 56.77 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 54.42 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 54.88 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 46.68 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 30.47 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 28.25 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 57.47 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 54.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 56.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 55.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 55.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 57.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 55.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 56.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 50.06 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 30.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 44.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 57.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 55.86 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 56.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 57.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 56.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 45.35 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.07 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 46.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.41 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.83 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 56.83 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.35 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.20 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 56.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.86 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 33.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 32.82 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.85 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 55.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 32.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 37.87 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.67 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.50 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 57.88 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 34.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 31.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 53.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.99 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.73 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 39.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.39 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 53.40 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.99 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 62.78 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.49 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 28.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 15.58 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.58 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 59.83 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.87 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 59.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 58.78 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.15 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 35.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 37.35 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.38 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 41.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 40.20 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 61.79 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 61.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 59.95 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.02 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 59.87 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 58.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 59.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 36.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 39.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 53.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 29.63 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 60.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 59.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 58.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.00 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 60.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 59.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 59.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 40.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 59.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 47.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 31.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 63.19 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 61.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 62.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 59.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 60.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 62.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 61.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 59.11 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 60.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 60.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 46.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 52.05 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 61.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 59.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 36.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 49.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 61.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 61.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 59.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 59.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 60.73 W, P0, [N/A]
2392 MHz, 3003 MHz, 76, 59.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 60.29 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 60.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 60.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 46.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 54.78 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 60.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 56.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 30.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 59.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 63.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 62.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 76, 61.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 59.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 62.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 75, 61.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 59.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 62.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 60.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 62.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 54.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 33.40 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 47.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 59.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 61.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 44.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 24.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 14.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 14.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 15.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 14.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 13.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 13.89 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 13.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.36 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.32 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.23 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.18 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.18 W, P0, [N/A]
