model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
LiquidAI/LFM2.5-350M,ctx_pp @ d8192 (c5),84720.3237448989,767.8924288905695,28963.93707649661,19846.714363823387,,,,,388.30702503522235,130.8824963381083,370.8288998653491,130.8824963381083,388.30702503522235,130.8824963381083
LiquidAI/LFM2.5-350M,ctx_tg @ d8192 (c5),304.88145912282334,34.70779544218271,223.8542648779659,88.37731866201374,345.6389095076718,35.21786419102039,244.36423501653022,127.54001800115977,,,,,,
LiquidAI/LFM2.5-350M,pp4096 @ d8192 (c5),27940.779231849996,187.9975344446141,10774.236710662757,6719.450669813273,,,,,518.1886334903538,205.65434351534176,500.7105083204806,205.65434351534176,518.1886334903538,205.65434351534176
LiquidAI/LFM2.5-350M,tg32 @ d8192 (c5),231.4898546369941,2.178069331728491,144.22605446120258,79.50739946424852,247.47043336070442,0.4063411591460181,159.44398447214704,96.82756023484987,,,,,,
LiquidAI/LFM2.5-350M,ctx_pp @ d8192 (c2),73510.63434779645,3951.731051804275,51556.15735742036,13056.65895296607,,,,,183.2644447373847,42.0049138544369,169.4520697928965,42.00491385443691,183.2644447373847,42.0049138544369
LiquidAI/LFM2.5-350M,ctx_tg @ d8192 (c2),360.4525605009588,10.371789817807215,267.5011303538195,69.94000430604112,396.0095687038228,19.361548201380497,300.68693757794085,99.82087846660707,,,,,,
LiquidAI/LFM2.5-350M,pp4096 @ d8192 (c2),27470.895225527056,4510.615722050765,20189.4057834042,9711.488037115945,,,,,253.6706670653075,81.10150428153729,239.85829212081924,81.10150428153729,253.6706670653075,81.10150428153729
LiquidAI/LFM2.5-350M,tg32 @ d8192 (c2),298.052452218114,119.34076277815788,228.63269032488327,78.36355746930668,345.13870593630185,137.11797928623758,505.90229963030833,537.2067628122151,,,,,,
LiquidAI/LFM2.5-350M,ctx_pp @ d8192 (c10),88644.083564319,1114.4837245291953,17240.799705550366,13763.546839577197,,,,,653.7724570992093,245.43173466994025,642.6404289901255,245.43173466994028,653.7724570992093,245.43173466994025
LiquidAI/LFM2.5-350M,ctx_tg @ d8192 (c10),320.5326672471176,17.941237642918985,122.98720294432546,80.40553133037348,349.15226974987155,21.58184967383986,142.32367453032666,105.64368095432869,,,,,,
LiquidAI/LFM2.5-350M,pp4096 @ d8192 (c10),28286.19196969,9.407371479358517,6626.029068453801,5444.7692613078925,,,,,911.3086792019506,402.63002278125344,900.1766510928668,402.63002278125333,911.3086792019506,402.63002278125344
