2398 MHz, 3003 MHz, 52, 17.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 13.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 22.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 20.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 55.52 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 56.92 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 53.25 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 54.24 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 54.36 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 56.03 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 56.01 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.55 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.79 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 56.58 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 56.23 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 56.31 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 54.72 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 57.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 56.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.16 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 57.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 57.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 56.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 56.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 55.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 58.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 57.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 57.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 57.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 57.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 56.87 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 56.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.03 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 56.30 W, P0, [N/A]
