2359 MHz, 3003 MHz, 64, 92.71 W, P0, [N/A]
2359 MHz, 3003 MHz, 66, 99.55 W, P0, [N/A]
2359 MHz, 3003 MHz, 66, 92.63 W, P0, [N/A]
2372 MHz, 3003 MHz, 66, 91.79 W, P0, [N/A]
2359 MHz, 3003 MHz, 62, 91.33 W, P0, [N/A]
2340 MHz, 3003 MHz, 67, 94.39 W, P0, [N/A]
2340 MHz, 3003 MHz, 67, 97.43 W, P0, [N/A]
2366 MHz, 3003 MHz, 68, 93.11 W, P0, [N/A]
2359 MHz, 3003 MHz, 65, 93.02 W, P0, [N/A]
2333 MHz, 3003 MHz, 69, 90.90 W, P0, [N/A]
2340 MHz, 3003 MHz, 69, 97.28 W, P0, [N/A]
2359 MHz, 3003 MHz, 69, 95.03 W, P0, [N/A]
2340 MHz, 3003 MHz, 69, 92.94 W, P0, [N/A]
2379 MHz, 3003 MHz, 70, 92.65 W, P0, [N/A]
2333 MHz, 3003 MHz, 66, 91.86 W, P0, [N/A]
2307 MHz, 3003 MHz, 71, 97.16 W, P0, [N/A]
2320 MHz, 3003 MHz, 71, 92.70 W, P0, [N/A]
2372 MHz, 3003 MHz, 71, 92.71 W, P0, [N/A]
2340 MHz, 3003 MHz, 67, 92.19 W, P0, [N/A]
2314 MHz, 3003 MHz, 71, 93.52 W, P0, [N/A]
2320 MHz, 3003 MHz, 72, 97.14 W, P0, [N/A]
2346 MHz, 3003 MHz, 71, 92.35 W, P0, [N/A]
2346 MHz, 3003 MHz, 70, 62.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 24.41 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 37.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 42.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 40.24 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 40.77 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 42.29 W, P0, [N/A]
2405 MHz, 3003 MHz, 64, 39.88 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 40.18 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 36.51 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 21.01 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.75 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.68 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.35 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.44 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.23 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 14.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 13.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 27.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 63.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 63.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 63.79 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 64.20 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.00 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 20.77 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.79 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.44 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 23.48 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 42.52 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 55.25 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 53.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 27.55 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 55.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 57.41 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 58.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 27.53 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 49.23 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 56.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 52.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 27.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 56.36 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 57.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 57.91 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 27.95 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 50.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 56.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 51.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 27.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 56.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 58.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.25 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 28.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 53.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 58.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 48.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 28.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 56.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 58.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.37 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 28.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 52.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 58.36 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 50.25 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 29.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.88 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 55.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 28.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 57.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 44.77 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 40.45 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.99 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 59.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 45.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 34.79 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.00 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 36.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 47.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.85 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.99 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 36.54 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 47.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.03 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 28.75 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 47.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 36.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 17.94 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.42 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 14.11 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.64 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 14.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 14.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 62.47 W, P0, [N/A]
2379 MHz, 3003 MHz, 57, 91.76 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 88.83 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 74.19 W, P0, [N/A]
2392 MHz, 3003 MHz, 59, 75.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 81.63 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 78.66 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 85.92 W, P0, [N/A]
2366 MHz, 3003 MHz, 60, 92.07 W, P0, [N/A]
2346 MHz, 3003 MHz, 67, 99.71 W, P0, [N/A]
2366 MHz, 3003 MHz, 67, 92.95 W, P0, [N/A]
2385 MHz, 3003 MHz, 67, 91.31 W, P0, [N/A]
2353 MHz, 3003 MHz, 64, 92.51 W, P0, [N/A]
2346 MHz, 3003 MHz, 69, 94.98 W, P0, [N/A]
2340 MHz, 3003 MHz, 69, 97.38 W, P0, [N/A]
2385 MHz, 3003 MHz, 70, 93.45 W, P0, [N/A]
2340 MHz, 3003 MHz, 64, 92.97 W, P0, [N/A]
2314 MHz, 3003 MHz, 70, 91.28 W, P0, [N/A]
2327 MHz, 3003 MHz, 70, 96.35 W, P0, [N/A]
2372 MHz, 3003 MHz, 71, 95.79 W, P0, [N/A]
2333 MHz, 3003 MHz, 71, 94.19 W, P0, [N/A]
2385 MHz, 3003 MHz, 71, 93.04 W, P0, [N/A]
2333 MHz, 3003 MHz, 72, 93.28 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 98.26 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 93.30 W, P0, [N/A]
2385 MHz, 3003 MHz, 73, 93.04 W, P0, [N/A]
2320 MHz, 3003 MHz, 67, 93.11 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 94.58 W, P0, [N/A]
2327 MHz, 3003 MHz, 74, 97.26 W, P0, [N/A]
2385 MHz, 3003 MHz, 74, 92.56 W, P0, [N/A]
2320 MHz, 3003 MHz, 72, 92.79 W, P0, [N/A]
2320 MHz, 3003 MHz, 74, 92.59 W, P0, [N/A]
2327 MHz, 3003 MHz, 75, 97.59 W, P0, [N/A]
2320 MHz, 3003 MHz, 75, 93.99 W, P0, [N/A]
