2372 MHz, 3003 MHz, 67, 92.30 W, P0, [N/A]
2372 MHz, 3003 MHz, 61, 92.07 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 97.79 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 92.55 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.77 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 91.97 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.35 W, P0, [N/A]
2372 MHz, 3003 MHz, 70, 99.18 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 90.67 W, P0, [N/A]
2372 MHz, 3003 MHz, 70, 92.29 W, P0, [N/A]
2340 MHz, 3003 MHz, 71, 93.03 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 96.34 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 95.44 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 92.42 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 91.17 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 91.14 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 99.33 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 93.00 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 91.85 W, P0, [N/A]
2327 MHz, 3003 MHz, 73, 91.66 W, P0, [N/A]
2327 MHz, 3003 MHz, 74, 94.36 W, P0, [N/A]
2327 MHz, 3003 MHz, 74, 94.96 W, P0, [N/A]
2314 MHz, 3003 MHz, 74, 92.66 W, P0, [N/A]
2385 MHz, 3003 MHz, 74, 92.72 W, P0, [N/A]
2327 MHz, 3003 MHz, 68, 91.35 W, P0, [N/A]
2327 MHz, 3003 MHz, 74, 96.76 W, P0, [N/A]
2327 MHz, 3003 MHz, 75, 92.71 W, P0, [N/A]
2327 MHz, 3003 MHz, 65, 60.03 W, P0, [N/A]
2327 MHz, 3003 MHz, 63, 26.64 W, P0, [N/A]
2327 MHz, 3003 MHz, 64, 41.67 W, P0, [N/A]
2327 MHz, 3003 MHz, 65, 42.65 W, P0, [N/A]
2327 MHz, 3003 MHz, 64, 40.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 42.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 43.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 41.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 41.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 38.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 19.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 13.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 13.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 13.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 13.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 13.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 12.91 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.86 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.85 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 13.68 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.77 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.52 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 14.60 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 14.30 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 20.41 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 23.32 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 21.07 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 32.46 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 63.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 60.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 63, 63.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 63.61 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 30.89 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 14.08 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.16 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 12.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 11.99 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 13.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 14.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 24.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 51.12 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 55.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 39.96 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 34.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 49.60 W, P0, [N/A]
