2398 MHz, 3003 MHz, 56, 75.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 80.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 93.89 W, P0, [N/A]
2379 MHz, 3003 MHz, 62, 93.45 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 92.79 W, P0, [N/A]
2359 MHz, 3003 MHz, 63, 95.39 W, P0, [N/A]
2372 MHz, 3003 MHz, 62, 92.82 W, P0, [N/A]
2372 MHz, 3003 MHz, 64, 96.93 W, P0, [N/A]
2379 MHz, 3003 MHz, 64, 93.40 W, P0, [N/A]
2366 MHz, 3003 MHz, 65, 93.99 W, P0, [N/A]
2379 MHz, 3003 MHz, 65, 95.33 W, P0, [N/A]
2366 MHz, 3003 MHz, 66, 92.27 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 96.88 W, P0, [N/A]
2340 MHz, 3003 MHz, 66, 78.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 21.54 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 20.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 16.57 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 23.44 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 25.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 22.25 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 20.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 14.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 19.76 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 39.27 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 38.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 39.23 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 32.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 14.89 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 24.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 26.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 21.95 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 27.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.52 W, P0, [N/A]
2379 MHz, 3003 MHz, 55, 52.97 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 60.90 W, P0, [N/A]
2314 MHz, 3003 MHz, 53, 68.03 W, P0, [N/A]
2372 MHz, 3003 MHz, 54, 40.42 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 51.36 W, P0, [N/A]
2385 MHz, 3003 MHz, 61, 67.50 W, P0, [N/A]
2333 MHz, 3003 MHz, 63, 80.42 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 64.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 64.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 24.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.81 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 36.90 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 56.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 54.19 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 45.83 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 55.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 47.58 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 55.90 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 55.19 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 55.13 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 55.78 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 54.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 30.16 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 27.42 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 55.71 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 57.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.49 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.39 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 56.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 56.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.80 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 57.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 55.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 43.47 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 30.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 49.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 57.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 56.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 56.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 57.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 56.95 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 57.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 56.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 34.86 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 30.79 W, P0, [N/A]
2405 MHz, 3003 MHz, 65, 49.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 58.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 61.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 56.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 58.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 58.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.11 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 56.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 52.07 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.21 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 39.93 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.45 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.11 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 56.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 56.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 49.16 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 31.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 41.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 60.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 57.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.00 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 32.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 31.49 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 55.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.45 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 36.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 32.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 51.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 58.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 62.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.05 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.49 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.39 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.66 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.58 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 52.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 43.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 60.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.34 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 59.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.48 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.00 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.61 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 44.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 47.61 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 61.37 W, P0, [N/A]
